2016001	8	7	9
2016002	2	7	3
2016003	1	5	9
2016004	6	7	1
2016005	5	8	1
2016006	7	0	9
2016007	9	5	2
2016008	5	8	3
2016009	3	5	3
2016010	8	0	2
2016011	8	1	5
2016012	1	8	0
2016013	3	2	4
2016014	9	3	8
2016015	3	4	9
2016016	4	4	7
2016017	5	3	1
2016018	5	6	3
2016019	2	7	8
2016020	5	2	1
2016021	6	9	9
2016022	9	1	6
2016023	7	2	9
2016024	6	2	4
2016025	1	1	0
2016026	3	2	4
2016027	2	8	0
2016028	4	1	6
2016029	0	2	6
2016030	2	9	3
2016031	5	9	2
2016032	7	7	8
2016033	3	8	7
2016034	6	0	6
2016035	9	8	1
2016036	9	6	8
2016037	4	6	8
2016038	9	6	0
2016039	2	4	8
2016040	1	4	3
2016041	5	1	9
2016042	7	0	1
2016043	5	5	7
2016044	0	1	0
2016045	6	9	2
2016046	3	8	3
2016047	6	0	6
2016048	8	5	1
2016049	7	3	9
2016050	7	3	1
2016051	5	2	8
2016052	6	4	1
2016053	9	4	9
2016054	3	2	8
2016055	5	5	3
2016056	9	4	1
2016057	5	4	3
2016058	1	2	6
2016059	7	4	1
2016060	0	3	9
2016061	7	5	4
2016062	8	0	3
2016063	3	5	6
2016064	0	6	2
2016065	4	5	0
2016066	1	8	1
2016067	0	0	1
2016068	0	7	5
2016069	6	4	3
2016070	8	9	6
2016071	6	5	0
2016072	0	2	0
2016073	8	1	5
2016074	7	7	7
2016075	8	4	5
2016076	6	4	4
2016077	7	1	7
2016078	9	0	8
2016079	0	7	5
2016080	2	6	1
2016081	6	3	5
2016082	6	4	0
2016083	2	8	9
2016084	2	8	2
2016085	9	6	7
2016086	2	4	9
2016087	0	9	9
2016088	4	7	3
2016089	1	1	1
2016090	9	5	4
2016091	4	0	5
2016092	8	7	5
2016093	6	2	2
2016094	8	2	4
2016095	7	0	4
2016096	3	4	8
2016097	5	3	2
2016098	4	1	4
2016099	2	1	7
2016100	5	5	1
2016101	0	6	1
2016102	2	8	2
2016103	1	2	6
2016104	9	0	0
2016105	6	9	9
2016106	0	4	3
2016107	2	3	8
2016108	4	8	0
2016109	1	0	0
2016110	6	5	0
2016111	3	3	6
2016112	3	4	0
2016113	6	7	9
2016114	9	8	1
2016115	6	3	1
2016116	4	2	5
2016117	3	2	6
2016118	7	0	3
2016119	3	0	8
2016120	9	3	6
2016121	8	4	3
2016122	7	6	2
2016123	7	0	8
2016124	9	1	4
2016125	5	9	4
2016126	1	3	4
2016127	9	5	7
2016128	1	2	3
2016129	6	4	1
2016130	8	6	2
2016131	7	5	3
2016132	4	5	3
2016133	6	9	1
2016134	1	0	7
2016135	7	3	2
2016136	6	1	9
2016137	3	9	3
2016138	5	6	0
2016139	2	5	0
2016140	7	8	7
2016141	6	8	8
2016142	4	3	5
2016143	5	0	3
2016144	6	2	5
2016145	9	4	1
2016146	7	6	1
2016147	9	8	9
2016148	8	1	3
2016149	7	5	3
2016150	9	1	2
2016151	3	3	6
2016152	4	9	8
2016153	1	7	4
2016154	8	3	9
2016155	7	8	4
2016156	2	7	8
2016157	1	5	1
2016158	9	2	0
